City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bandarbeyla,SO,9.4942,50.8122,79.65,80,97,5.32,Clouds
81,Aykhal,RU,66.0,111.5,6.26,99,37,2.53,Clouds
82,Yulara,AU,-25.2406,130.9889,57.04,38,0,5.75,Clear
83,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,12.66,Clouds
84,Kouango,CF,4.9934,19.9619,78.49,67,88,3.89,Clouds
85,Klaksvik,FO,62.2266,-6.589,29.32,75,100,13.89,Snow
86,Shestakovo,RU,56.4915,103.96,29.17,99,100,2.33,Snow
87,Hilo,US,19.7297,-155.09,78.24,80,100,11.5,Clouds
88,Grand Gaube,MU,-20.0064,57.6608,75.38,85,19,1.01,Clouds
89,Thompson,CA,55.7435,-97.8558,36.34,96,100,11.74,Clouds
90,Zanjan,IR,36.6736,48.4787,46.15,71,64,1.36,Clouds
91,Jamestown,US,42.097,-79.2353,37.53,43,100,12.66,Clouds
92,Esperance,AU,-33.8667,121.9,55.89,70,42,9.69,Clouds
93,Qaanaaq,GL,77.484,-69.3632,-0.51,75,94,3.83,Clouds
94,Ushuaia,AR,-54.8,-68.3,47.86,66,20,3.44,Clouds
95,Yaan,NG,7.3833,8.5667,74.39,86,100,11.18,Rain
96,Hofn,IS,64.2539,-15.2082,31.82,55,11,4.41,Clouds
97,Magomeni,TZ,-6.8,39.25,78.24,80,4,4.88,Clear
98,Asau,RO,46.4333,26.4,45.52,100,100,2.06,Clouds
99,Nome,US,64.5011,-165.4064,29.16,93,100,6.91,Snow
100,Kieta,PG,-6.2167,155.6333,82.65,70,51,1.68,Clouds
101,Gaoua,BF,10.2992,-3.2508,91.94,33,100,6.02,Clouds
102,Pereslavl-Zalesskiy,RU,56.7393,38.8563,41.61,93,100,9.95,Clouds
103,Bakchar,RU,57.0186,82.0711,16.2,97,46,4.05,Clouds
104,Zhangye,CN,38.9342,100.4517,57.22,19,2,2.35,Clear
105,Lata,PT,40.1629,-8.3327,58.82,96,62,2.37,Clouds
106,Nizwa,OM,22.9333,57.5333,82.87,15,26,7.72,Clouds
107,Brae,GB,60.3964,-1.353,37.08,60,100,19.46,Clouds
108,Kushmurun,KZ,52.4503,64.6311,40.23,74,100,13.04,Clouds
109,Arman,RU,59.7,150.1667,16.79,86,52,4.38,Clouds
110,Udupi,IN,13.35,74.75,74.44,80,100,1.25,Clouds
111,Mitsamiouli,KM,-11.3847,43.2844,82.62,75,79,4.94,Clouds
112,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,75,8.05,Clouds
113,Mar Del Plata,AR,-38.0023,-57.5575,66.09,95,100,18.01,Clouds
114,Nata,PA,8.3333,-80.5167,78.87,82,100,10.67,Clouds
115,Fairbanks,US,64.8378,-147.7164,18.61,42,0,5.75,Clear
116,Crib Point,AU,-38.35,145.2,69.58,79,15,14.05,Clouds
117,Calvinia,ZA,-31.4707,19.776,61.5,47,2,15.84,Clear
118,Evensk,RU,61.95,159.2333,19.54,86,100,1.88,Clouds
119,Cagli,IT,43.5457,12.6527,44.85,96,98,7.14,Clouds
120,Robertsport,LR,6.7533,-11.3686,80.15,90,93,9.33,Clouds
121,Port Lincoln,AU,-34.7333,135.8667,66.92,45,91,5.7,Clouds
122,Christchurch,NZ,-43.5333,172.6333,59.32,88,75,1.14,Clouds
123,Pisco,PE,-13.7,-76.2167,70.02,83,0,6.91,Clear
124,Matamoros,MX,25.5333,-103.25,86.11,20,100,11.5,Clouds
125,Yenagoa,NG,4.9247,6.2642,76.96,90,100,1.72,Clouds
126,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,96,2.3,Clouds
127,Oktyabrskoye,RU,43.0645,44.7417,41.14,81,45,4.47,Clouds
128,Geraldton,AU,-28.7667,114.6,61.21,72,100,5.75,Clouds
129,Codrington,AU,-38.2667,141.9667,64.38,74,90,12.77,Clouds
130,Batemans Bay,AU,-35.7167,150.1833,61.11,91,11,3.29,Clouds
131,Ahipara,NZ,-35.1667,173.1667,65.41,73,100,4.14,Clouds
132,Lazaro Cardenas,MX,17.9583,-102.2,84.36,56,100,12.88,Clouds
133,Tibati,CM,6.4667,12.6333,70.92,75,100,6.71,Clouds
134,Tsagan Aman,RU,47.5639,46.7218,49.78,85,37,7.2,Clouds
135,Mega,ET,4.05,38.3,61.48,67,22,6.51,Clouds
136,Moranbah,AU,-22.0016,148.0466,72.1,82,100,19.28,Clouds
137,Dikson,RU,73.5069,80.5464,6.12,98,99,3.4,Clouds
138,Chokurdakh,RU,70.6333,147.9167,-11.22,98,99,4.43,Clouds
139,Khatanga,RU,71.9667,102.5,-6.65,100,92,3.27,Clouds
140,Kahului,US,20.8947,-156.47,84.22,64,40,19.57,Clouds
141,Aden,YE,12.7794,45.0367,81.45,74,0,15.21,Clear
142,San Cristobal,VE,7.7669,-72.225,80.78,46,52,4.85,Clouds
143,Bredasdorp,ZA,-34.5322,20.0403,62.58,84,44,17.65,Clouds
144,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,67.84,81,42,10.47,Clouds
145,Dedovichi,RU,57.5517,29.9502,33.93,95,100,6.91,Clouds
146,Bilma,NE,18.6853,12.9164,85.6,7,0,4.0,Clear
147,Provideniya,RU,64.3833,-173.3,33.17,96,100,16.53,Snow
148,Cayenne,GF,4.9333,-52.3333,82.09,1,40,10.36,Clouds
149,Kaitangata,NZ,-46.2817,169.8464,56.5,67,27,10.45,Clouds
150,Spornoye,RU,50.8448,37.2913,51.82,76,99,16.04,Clouds
151,Cape Town,ZA,-33.9258,18.4232,62.91,70,0,14.0,Clear
152,Eregli,TR,37.5133,34.0467,58.46,43,99,3.4,Clouds
153,Dandong,CN,40.1292,124.3947,51.1,82,7,12.46,Clear
154,Roma,US,43.2128,-75.4557,49.82,53,0,15.99,Clear
155,Ngunguru,NZ,-35.6167,174.5,67.73,66,72,12.12,Clouds
156,Otuzco,PE,-7.9,-78.5833,52.92,89,100,4.27,Rain
157,Lompoc,US,34.6391,-120.4579,81.12,61,0,20.71,Clear
158,Eufaula,US,31.8913,-85.1455,62.33,36,6,12.46,Clear
159,Kirakira,SB,-10.4544,161.9205,78.62,87,100,6.96,Clouds
160,Peniche,PT,39.3558,-9.3811,59.29,94,69,7.85,Clouds
161,Butaritari,KI,3.0707,172.7902,80.35,80,95,13.31,Rain
162,Kawhia,NZ,-38.0651,174.8183,64.42,70,3,3.74,Clear
163,Port Macquarie,AU,-31.4333,152.9167,67.89,89,14,5.3,Clouds
164,Grevena,GR,40.0845,21.4274,58.21,73,71,4.83,Clouds
165,Karonga,MW,-9.9333,33.9333,71.94,88,80,4.18,Rain
166,Carnarvon,AU,-24.8667,113.6333,66.27,72,100,9.22,Clouds
167,Mzimba,MW,-11.9,33.6,62.76,95,40,8.41,Rain
168,Paarl,ZA,-33.7338,18.9752,61.25,78,0,10.13,Clear
169,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,Clouds
170,Fortuna,US,40.5982,-124.1573,58.86,61,0,28.77,Clear
171,Mayabon,PH,9.0961,123.1738,78.1,82,100,6.15,Rain
172,Sirsa,IN,29.5333,75.0167,81.97,9,0,7.02,Clear
173,Owando,CG,-0.4819,15.8999,73.17,89,99,5.99,Rain
174,Santa Marta,CO,11.2408,-74.199,82.2,76,71,17.13,Clouds
175,Saint George,US,37.1041,-113.5841,85.95,8,0,23.02,Clear
176,Mangan,IN,27.5167,88.5333,68.07,87,99,0.58,Clouds
177,Half Moon Bay,US,37.4636,-122.4286,78.89,62,0,25.32,Haze
178,Talcahuano,CL,-36.7167,-73.1167,56.88,88,75,3.44,Clouds
179,Sabang,ID,5.8933,95.3214,82.42,70,51,2.13,Clouds
