City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name,Hotel name
291,Opunake,NZ,68.45,Clouds,-39.4556,173.8583,,Walton Cottage
293,Adre,TD,77.16,Clear,13.4667,22.2,,
294,Guerrero Negro,MX,73.8,Clouds,27.9769,-114.0611,,"Casa Laguna, Bed & Breakfast"
300,Sitangkai,PH,77.97,Clouds,4.6628,119.3928,,Ama House
301,Twentynine Palms,US,84.15,Clear,34.1356,-116.0542,,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
302,Touho,NC,83.43,Clouds,-20.7833,165.2333,,Auberge Timay Evasion
303,Ballina,AU,77.02,Clouds,-28.8667,153.5667,,Ramada Hotel & Suites by Wyndham Ballina Byron
306,Port Augusta,AU,78.89,Clear,-32.5,137.7667,,Majestic Oasis Apartments
310,Jaltenango,MX,75.33,Clouds,15.8719,-92.7247,,Finca Jaltenango Hotel Boutique
312,Wilmington,US,69.71,Clouds,34.2257,-77.9447,,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
313,Sambava,MG,74.68,Clouds,-14.2667,50.1667,,Melrose
317,Beitbridge,ZW,69.78,Clouds,-22.2167,30.0,,Beitbridge Express Hotel
319,Jamame,SO,77.97,Clouds,0.0722,42.7506,,
320,San Luis,AR,67.6,Clear,-33.295,-66.3356,,Huarpes Hotel
324,Bilma,NE,82.94,Clear,18.6853,12.9164,,Expeditions Ténére voyages
327,Boende,CD,69.98,Rain,-0.2167,20.8667,,
330,Kontagora,NG,80.83,Clouds,10.3999,5.4695,,Queens Guest Inn
333,Namibe,AO,71.24,Clouds,-15.1961,12.1522,,Hotel Chik Chik Namibe
334,Kupang,ID,83.82,Clouds,-10.1667,123.5833,,Hotel On The Rock by Prasanthi
338,Pangkalanbuun,ID,77.85,Clouds,-2.6833,111.6167,,Grand Kecubung Hotel
341,Voh,NC,84.45,Clouds,-20.9667,164.7,,Le gîte du Koniambo
342,Sri Aman,MY,77.09,Clouds,1.2376,111.4621,,Seri Simanggang Hotel
344,Tezu,IN,71.28,Clouds,27.9167,96.1667,,Circuit House
349,Bairnsdale,AU,68.05,Clouds,-37.8333,147.6167,,Town Central Motel
350,Gazojak,TM,66.07,Clouds,41.1875,61.4036,,
353,Ambilobe,MG,73.99,Clouds,-13.2,49.05,,Hôtel & Restaurant DIANA Ambilobe
355,Veraval,IN,83.44,Clear,20.9,70.3667,,Lords Inn Somnath
358,Lompoc,US,87.94,Clear,34.6391,-120.4579,,"Holiday Inn Express Lompoc, an IHG Hotel"
359,Si Sa Ket,TH,80.01,Clouds,14.8333,104.3333,,ร้านค้า อัญชัน
361,Harper,LR,79.59,Clouds,4.375,-7.7169,,Screensaver
367,Shimoda,JP,66.56,Clouds,34.6667,138.95,,Shimoda Tokyu Hotel
368,Luba,GQ,78.69,Rain,3.4568,8.5547,,
369,Diu,IN,86.16,Clear,20.7141,70.9822,,Hotel Relax Inn
370,Dickinson,US,69.94,Clear,29.4608,-95.0513,,Hampton Inn & Suites Houston/League City
371,Tual,ID,84.24,Clouds,-5.6667,132.75,,Grand Vilia Hotel
372,Santa Cruz,BO,78.26,Clouds,-17.8,-63.1667,,Aviador Hotel Boutique
373,Sibolga,ID,77.72,Clouds,1.7427,98.7792,,Hotel Syariah CN Darussalam
374,Celestun,MX,77.67,Clouds,20.8667,-90.4,,Posada Lilia
379,Ciudad Bolivar,VE,85.87,Clouds,8.1222,-63.5497,,Hotel Edi
380,Capissayan,PH,75.33,Clouds,18.0509,121.8177,,
383,Sabang,ID,82.11,Clouds,5.8933,95.3214,,Hotel Citra
389,Jinka,ET,65.57,Clouds,5.65,36.65,,
390,Yanam,IN,82.33,Clouds,16.7333,82.2167,,The Regency Hotel
391,Kaeo,NZ,71.33,Clouds,-35.1,173.7833,,Bushido Lodge
394,Cidreira,BR,69.08,Clouds,-30.1811,-50.2056,,Hotel Castelo
395,Waspan,NI,75.67,Clouds,14.7419,-83.9717,,Hostal casa de la rose
396,Hambantota,LK,75.54,Clouds,6.1241,81.1185,,Bungalow 63
397,Jiaojiang,CN,71.01,Clear,28.6803,121.4428,,Fangyuan Hotel
399,Marawi,PH,76.32,Clouds,7.9986,124.2928,,Derogongan Residence
405,Port Lincoln,AU,69.12,Clear,-34.7333,135.8667,,Port Lincoln Hotel
406,Port Blair,IN,78.84,Drizzle,11.6667,92.75,,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
407,Yining,CN,77.0,Clear,29.0361,114.5636,,Xiushui Hotel
408,San Quintin,MX,72.93,Clear,30.4833,-115.95,,Don Eddie's Sport Fishing Center
410,Sumbe,AO,76.03,Clouds,-11.2061,13.8437,,Hotel Ritz Sumbe
412,Praia,CV,72.14,Clouds,14.9215,-23.5087,,LT Aparthotel
414,Kawalu,ID,80.22,Clouds,-7.3817,108.2082,,West Jontor
416,Luau,AO,65.07,Clouds,-10.7073,22.2247,,Casa- Bernardo Cândido
418,Olinda,BR,82.13,Clouds,-8.0089,-34.8553,,Flat Quatro Rodas Olinda
424,Kavali,IN,80.44,Clouds,14.9167,79.9833,,Hotel Mourya Paradise
426,Naze,JP,70.72,Clear,28.3667,129.4833,,Shishime Hotel
427,Dingle,PH,76.82,Rain,10.9995,122.6711,,SEGAYA PROPERTY
438,Prata,BR,76.46,Clouds,-19.3072,-48.9242,,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
443,Faqirwali,PK,84.31,Clear,29.4663,73.034,,Al makkah tayer faqirwali
448,Qui Nhon,VN,76.06,Clouds,13.7667,109.2333,,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
452,Codrington,AU,72.0,Clear,-38.2667,141.9667,,Codrington Gardens Bed And Breakfast
453,San Juan,AR,75.06,Clear,-31.5375,-68.5364,,Hotel Provincial
454,Pundaguitan,PH,83.14,Clouds,6.3711,126.1689,,Leonardo Family Beach House 1
455,Kutum,SD,73.02,Clear,14.2,24.6667,,Dibbo areaمنطقة دبو
456,Nizwa,OM,76.35,Clear,22.9333,57.5333,,Orient Apartments
460,Guangyuan,CN,70.83,Clouds,32.442,105.823,,Guangyuan Poetry Hotel
469,Rantepao,ID,79.57,Clouds,-2.9701,119.8978,,Hotel Luta Resort
472,Nandura,IN,87.98,Clear,20.8333,76.45,,Deepika Infratech Pvt Ltd
477,Atambua,ID,82.94,Clouds,-9.1061,124.8925,,Kost Alfa Flat
478,Sydney,AU,74.35,Rain,-33.8679,151.2073,,The Grace Sydney
479,Mogadishu,SO,80.96,Clouds,2.0371,45.3438,,Hotel Juba
480,Kashi,CN,69.01,Clouds,39.4547,75.9797,,帕米尔青年旅舍
482,Kembe,CF,69.24,Rain,4.6228,21.8865,,
487,Orocue,CO,78.28,Clouds,4.7912,-71.3354,,Hotel Brisas de San Miguel
488,Maningrida,AU,86.79,Clouds,-12.0667,134.2667,,Dhukurrdji Lodge
489,Catumbela,AO,74.44,Rain,-12.4314,13.5472,,Hotel Do Kamgamba
490,Balikpapan,ID,81.59,Rain,-1.2675,116.8289,,Swiss-Belhotel Balikpapan
491,Bo Rai,TH,83.77,Clouds,12.5728,102.5371,,Baiboon Resort
493,Butterworth,MY,86.04,Clouds,5.3991,100.3638,,Cititel Penang
497,Hasaki,JP,66.29,Clear,35.7333,140.8333,,Inubosaki Kanko Hotel
501,Raga,SS,73.22,Clouds,8.4596,25.678,,
502,Qalyub,EG,81.39,Clouds,30.1792,31.2056,,كمال فهمى محمد فهمى
503,Hirara,JP,75.06,Clouds,24.8,125.2833,,Hotel Atoll Emerald Miyakojima
505,Kantang,TH,78.89,Clouds,7.4054,99.5156,,Reng Ta Chai Boutique HomeStay
506,Matamoros,MX,69.39,Clouds,25.5333,-103.25,,Quinta Belem
512,Akalkot,IN,88.84,Clear,17.5333,76.2167,,Hotel Vikas
513,Esna,EG,77.02,Clouds,25.2934,32.554,,Orient Star Dahabyia Isna 05 Nights Each Sunday
514,Baculin,PH,82.36,Clouds,7.4525,126.5842,,Baculin Cove Beach Resort
515,Xam Nua,LA,72.27,Clear,20.4197,104.0439,,Xee Wang Guesthouse
520,Massaguet,TD,88.29,Clouds,12.4755,15.4365,,Alwatane
522,Pringsewu,ID,82.98,Clouds,-5.3582,104.9744,,Urban Style by Front One
523,Jacareacanga,BR,73.69,Clouds,-6.2222,-57.7528,,Casa do Ian😎
524,Filingue,NE,83.01,Clear,14.3521,3.3168,,
525,Kaniama,CD,66.42,Clouds,-7.5667,24.1833,,
530,Muborak,UZ,67.89,Clouds,39.2553,65.1528,,Muborak temiryoʻl vakzali
534,Qandala,SO,79.56,Clouds,11.472,49.8728,,
535,Camocim,BR,76.51,Clouds,-2.9022,-40.8411,,Ilha Praia Hotel
536,Ziniare,BF,84.24,Clouds,12.5822,-1.2983,,Privilège Hôtel de Ziniaré
537,Kidal,ML,86.74,Clear,18.4411,1.4078,,
538,Binzhou,CN,73.62,Clear,37.3667,118.0167,,Hampton By Hilton Binzhou
539,Kudahuvadhoo,MV,83.79,Clouds,2.6708,72.8944,,Niyama Private Islands Maldives
540,Meulaboh,ID,79.45,Clouds,4.1363,96.1285,,Kost Pria
544,Korla,CN,66.2,Clouds,41.7597,86.1469,,Gulisitan Hotel
545,Agadez,NE,80.19,Clear,19.75,10.25,,
546,Sola,VU,83.08,Clouds,-13.8833,167.55,,Leumerus Bungalows
547,Lingao,CN,74.41,Clear,19.9103,109.6859,,Lingao Ditai Inn
548,Nokaneng,BW,72.61,Clouds,-19.6667,22.2667,,
550,Lichuan,CN,66.25,Clear,30.3,108.85,,Yuanlai Homestay
551,Rio Grande,BR,68.95,Clouds,-32.035,-52.0986,,Hotel Atlântico Rio Grande
552,Beaufort,MY,84.0,Clouds,5.3473,115.7455,,The Gem Hotel Beaufort
554,Manaure,CO,79.74,Clouds,11.7751,-72.4445,,Hotel Palaaima
555,Sibu,MY,79.11,Clouds,2.3,111.8167,,RH HOTEL (4 Star)
556,Kattivakkam,IN,84.07,Clouds,13.2167,80.3167,,Euronova Freezer
557,Port-Gentil,GA,80.46,Rain,-0.7193,8.7815,,Fengshui Residence
558,Bluefields,NI,78.44,Clouds,12.0137,-83.7635,,Nicaraguan Typical House Downtown
559,Giyani,ZA,67.6,Clouds,-23.3025,30.7187,,Kulani Country Lodge
561,Pitimbu,BR,77.59,Clouds,-7.4706,-34.8086,,Reserva do Abiaí
562,Langsa,ID,82.2,Clouds,4.4683,97.9683,,OYO 2964 Hotel Ridho
563,Sabya,SA,76.62,Clear,17.1495,42.6254,,Aseel Hotel Apartment
564,Khandbari,NP,69.22,Clouds,27.3747,87.2039,,Sainik Hotel And Lodge
567,Luang Prabang,LA,69.76,Clear,19.8856,102.1347,,The Apsara
568,Kingman,US,78.28,Clear,35.1894,-114.053,,Rodeway Inn Kingman Route 66
570,Sangmelima,CM,68.47,Rain,2.9333,11.9833,,gamestar hotel
571,Pafos,CY,66.24,Clouds,34.7667,32.4167,,Elysium Hotel
572,Ukiah,US,87.69,Clear,39.1502,-123.2078,,Hampton Inn Ukiah
574,Valle Hermoso,MX,66.92,Clear,25.6667,-97.8333,,MAQUINARIA Y TRANSPORTE DE CARGA
575,Itarema,BR,76.6,Clouds,-2.9248,-39.9167,,"Sea Lounge! Bar, Club & Restaurant"
576,Bonthe,SL,77.23,Clouds,7.5264,-12.505,,Bonthe Holiday Village
580,Gustavo Diaz Ordaz,MX,72.03,Clear,26.2333,-98.5833,,Chikas En El Hotel
582,Dawei,MM,88.57,Clouds,14.0833,98.2,,Hotel Dawei
583,Yarada,IN,80.92,Mist,17.65,83.2667,,Yarada Jungle Beach Resorts
585,Tocantins,BR,77.29,Clear,-10.5,-48.0,,
586,Tayu,ID,84.0,Clouds,-6.5397,111.0518,,Toko pakaian bu is Tayu
589,Yinchuan,CN,69.39,Clouds,38.4681,106.2731,,JJ Inns - Yinchuan New Moon Square Branch
590,Cabedelo,BR,77.67,Clouds,-6.9811,-34.8339,,Hotel Pigalle
592,Nisia Floresta,BR,80.98,Clouds,-6.0911,-35.2086,,Rancho Crepusculo
593,Sironj,IN,86.49,Clouds,24.1,77.7,,shri shyam palace sironj
595,Cayenne,GF,79.09,Clouds,4.9333,-52.3333,,Hôtel Le Dronmi
597,Denpasar,ID,85.71,Clouds,-8.65,115.2167,,OYO 3156 Hotel Warta 2
600,Berberati,CF,70.02,Clouds,4.2612,15.7922,,MAIRIE DE BERBERATI
603,Alofi,NU,85.89,Clouds,-19.0595,-169.9187,,Taloa Heights
607,Sur,OM,84.34,Clouds,22.5667,59.5289,,Sur Plaza Hotel
608,Bien Hoa,VN,84.18,Clouds,10.95,106.8167,,OYO 991 Duy Anh Hotel
609,Ngunguru,NZ,66.36,Clouds,-35.6167,174.5,,Pacific Rendezvous Motel Resort
612,Vallenar,CL,71.37,Clear,-28.5708,-70.7581,,Humacao Bed & Breakfast
620,Passo De Camaragibe,BR,76.55,Clouds,-9.2368,-35.4901,,Chácara vovó candinha
622,Nabire,ID,85.98,Clouds,-3.3667,135.4833,,Hotel Nusantara I
624,Lazaro Cardenas,MX,74.17,Clouds,17.9583,-102.2,,HOTEL QUINTA ANTIGUA
625,Pochutla,MX,81.82,Clouds,15.7432,-96.4661,,Hotel Posada San Jose
626,Eseka,CM,75.11,Rain,3.65,10.7667,,Complexe Hotelier Ndjiki Mpeck Eseka II
628,Yumen,CN,65.44,Clear,40.2833,97.2,,
629,Beloha,MG,73.83,Clouds,-25.1667,45.05,,
630,Pyay,MM,87.57,Clouds,18.8167,95.2167,,Shwe Pyi Thar
634,Half Moon Bay,US,85.78,Clear,37.4636,-122.4286,,"The Ritz-Carlton, Half Moon Bay"
635,Ambovombe,MG,74.88,Clouds,-25.1667,46.0833,,RELAHARA
641,Ibirama,BR,72.32,Clouds,-27.0569,-49.5178,,Hotel Soralete - Grupo Rosablue
642,Dwarka,IN,80.49,Clouds,22.2394,68.9678,,Hotel Narayan Avezika Comfort
644,Jaguaruna,BR,69.3,Clouds,-28.615,-49.0256,,Pousada Recanto das Flores Jaguaruna
646,Guaratinga,BR,70.34,Clear,-16.5667,-39.5667,,Hotel Caraíva
648,Teknaf,BD,81.37,Clear,20.8624,92.3058,,Forestry Guesthouse
649,Mount Isa,AU,87.57,Clear,-20.7333,139.5,,ibis Styles Mt Isa Verona
650,Monrovia,LR,76.77,Clouds,6.3005,-10.7969,,Sunset Inn
651,Orapa,BW,74.62,Clouds,-21.2833,25.3667,,
652,Grand Gaube,MU,77.4,Clouds,-20.0064,57.6608,,Veranda Paul et Virginie Hotel & Spa
656,Yanzhou,CN,71.74,Clear,35.5528,116.8286,,Yuegong Commercial Hotel
664,Juegang,CN,67.51,Clear,32.3174,121.1855,,Rudong Y Hotel
665,Cerro Largo,BR,65.41,Clouds,-28.1486,-54.7381,,Hotel Missões
666,Diamantino,BR,76.19,Clouds,-14.4086,-56.4461,,Hotel Delta
